﻿动,2856
﻿立,2101
﻿江,4459
﻿雨,824
﻿顺,1643
﻿凭,1171
﻿仁,2018
﻿板,412
﻿斧,246
﻿尽,2821
﻿俺,5848
﻿赞,355
﻿钢,378
﻿加,1217
﻿誓,582
﻿朝,7767
﻿长,5279
﻿土,951
﻿母,7900
﻿跟,1788
﻿战,4799
﻿唐,1234
﻿蒙,1445
﻿忍,1020
﻿吓,7407
﻿呔,1327
﻿奸,2541
﻿饶,909
﻿讲,4469
﻿像,775
﻿氏,2252
﻿流,1415
﻿落,2669
﻿处,3477
﻿盘,690
﻿费,984
﻿红,2151
﻿脸,962
﻿方,4494
﻿闪,448
﻿黑,1067
﻿刺,924
﻿送,3477
﻿千,6291
﻿迢,133
﻿它,699
﻿锁,600
﻿劈,231
﻿克,260
﻿哥,5407
﻿拿,4330
﻿喊,534
﻿拖,78
﻿出,12347
﻿丧,1913
﻿痛,1169
﻿哭,1657
﻿声,4361
﻿佩,228
﻿仓,307
﻿绝,706
﻿咳,1552
﻿煤,55
﻿炭,154
﻿店,1315
﻿碎,428
﻿银,3133
﻿跪,1574
﻿另,445
﻿公,13339
﻿干,2818
﻿证,401
﻿拾,542
﻿旅,115
﻿拜,3874
﻿圣,3299
﻿寻,1503
﻿君,6535
﻿叹,1058
﻿误,1419
﻿同,6148
﻿呵,1575
﻿刎,228
﻿掩,460
﻿匹,577
﻿拉,713
﻿富,958
﻿贵,1914
﻿挂,1857
﻿站,1340
﻿盒,93
﻿啊,14878
﻿泪,1850
﻿双,2186
﻿咬,513
﻿指,1137
﻿鲜,281
﻿血,1078
﻿透,232
﻿字,2486
﻿呈,586
﻿暗,1704
﻿旦,523
﻿倾,318
﻿洲,64
﻿似,2486
﻿刀,3236
﻿般,1235
﻿及,587
﻿腹,709
﻿呕,151
﻿浑,289
﻿冷,708
﻿溲,5
﻿搀,373
﻿房,2711
﻿清,1887
﻿宫,4623
﻿笙,62
﻿歌,574
﻿派,689
﻿嘹,15
﻿紫,463
﻿金,6731
﻿冠,536
﻿凤,1419
﻿翅,260
﻿飘,460
﻿滚,709
﻿袍,869
﻿玉,2714
﻿围,803
﻿腰,403
﻿凹,20
﻿锏,211
﻿皆,926
﻿殿,3984
﻿尘,883
﻿舞,332
﻿蹈,63
﻿德,2311
﻿芳,616
﻿侍,1623
﻿妹,3101
﻿亲,7454
﻿林,1963
﻿摆,1788
﻿伺,1699
﻿枝,468
﻿根,1296
﻿叔,2025
﻿锦,871
﻿绣,700
﻿庭,651
﻿边,2362
﻿厢,1083
﻿盈,201
﻿弓,585
﻿搭,1007
﻿箭,1717
﻿射,712
﻿最,501
﻿宗,1222
﻿迈,699
﻿至,2820
﻿府,4404
﻿镫,161
﻿迎,1962
﻿接,2354
﻿岁,7631
﻿养,1371
﻿静,664
﻿荒,610
﻿郊,343
﻿游,957
﻿闷,864
﻿雕,423
﻿翎,156
﻿些,2883
﻿睁,373
﻿昏,1096
﻿花,5583
﻿冤,1979
﻿怨,788
﻿星,1264
﻿眷,331
﻿伤,2305
﻿损,260
﻿八,3022
﻿恕,945
﻿臣,9282
﻿替,1212
﻿赐,1479
﻿洋,351
﻿次,1133
﻿私,985
﻿膀,169
﻿飞,2190
﻿忧,758
﻿珠,1170
﻿堂,4532
﻿祖,1206
﻿娘,9968
﻿七,1777
﻿柴,522
﻿须,2609
﻿教,2588
﻿训,410
﻿延,1389
﻿昭,818
﻿叩,1286
﻿抽,130
﻿稳,409
﻿许,2476
﻿旁,1832
﻿怀,2167
﻿愤,165
﻿笑,1996
﻿嘻,73
﻿拱,80
﻿岳,1391
﻿胜,2284
﻿威,1912
﻿凛,298
﻿曹,4255
﻿奔,1228
﻿付,556
﻿斤,216
﻿担,668
﻿承,1110
﻿冰,194
﻿霜,352
﻿贞,458
﻿效,541
﻿寡,1020
﻿居,1270
﻿镇,1486
﻿每,1007
﻿织,157
﻿榜,420
﻿留,2236
﻿奴,3328
﻿春,2460
﻿娥,412
﻿配,1333
﻿薛,1390
﻿广,1116
﻿贸,55
﻿易,542
﻿亏,678
﻿张,6665
﻿刘,4252
﻿嫁,614
﻿永,676
﻿抚,298
﻿倚,207
﻿攻,1226
﻿书,5324
﻿绢,47
﻿雾,218
﻿雪,790
﻿深,1205
﻿高,4869
﻿低,491
﻿草,1650
﻿惨,495
﻿遭,1304
﻿雁,483
﻿群,671
﻿伴,546
﻿梨,155
﻿团,486
﻿圆,415
﻿浪,450
﻿舟,466
﻿船,1186
﻿园,1523
﻿念,1808
﻿抱,623
﻿友,1028
﻿短,417
﻿争,948
﻿辩,387
﻿妈,2724
﻿饭,1468
﻿吃,3527
﻿甚,2685
﻿背,824
﻿完,899
﻿忘,1164
﻿尾,239
﻿提,2040
﻿句,1228
﻿曰,233
﻿‘,21
﻿省,234
﻿’,21
﻿乎,334
﻿香,2535
﻿炉,123
﻿瓦,400
﻿灯,1209
﻿咀,11
﻿读,838
﻿谁,4211
﻿顽,164
﻿紧,2039
﻿青,2049
﻿畜,231
﻿气,4446
﻿坏,943
﻿几,2990
﻿幼,1221
﻿秦,2869
﻿甘,835
﻿罗,1801
﻿宰,369
﻿塘,237
﻿登,1462
﻿瑾,240
﻿海,2305
﻿法,3404
﻿称,1215
﻿吴,2119
﻿烧,914
﻿葬,383
﻿降,2660
﻿投,1810
﻿孩,2529
﻿羞,663
﻿臊,87
﻿惜,670
﻿迟,1188
﻿哉,848
﻿闭,398
﻿口,3587
﻿妻,3339
﻿阎,344
﻿闯,810
﻿祸,1269
﻿火,2085
﻿油,388
﻿泼,111
﻿啼,505
﻿恶,998
﻿管,2630
﻿严,1185
﻿惰,17
﻿膝,434
﻿雷,714
﻿霆,73
﻿苦,2680
﻿哀,682
﻿告,3545
﻿苗,553
﻿娇,478
﻿跌,145
﻿跤,33
﻿纪,719
﻿轻,981
﻿责,451
﻿雅,209
﻿赛,332
﻿铜,375
﻿百,3595
﻿姣,530
﻿耐,298
﻿吧,5143
﻿割,387
﻿断,1534
﻿交,2965
﻿怒,1632
﻿冲,1096
﻿寒,1379
﻿源,316
﻿肠,927
﻿变,1087
﻿穿,1305
﻿裙,225
﻿喜,3086
﻿莫,2564
﻿沿,128
﻿讨,1223
﻿代,1158
﻿晓,1668
﻿未,4489
﻿唱,612
﻿冒,529
﻿犯,2003
﻿挨,288
﻿疼,425
﻿焉,893
﻿测,254
﻿举,1098
﻿爱,1677
﻿她,6233
﻿己,1073
﻿骂,1708
﻿依,1429
﻿向,1549
﻿遮,246
﻿拦,439
﻿酸,220
﻿仆,262
﻿玩,813
﻿鳌,178
﻿占,568
﻿衰,188
﻿应,2706
﻿碌,95
﻿鞋,340
﻿曲,300
﻿树,491
﻿梢,228
﻿叶,287
﻿稀,155
﻿茄,18
﻿斗,1178
﻿倭,13
﻿瓜,149
﻿越,1127
﻿毛,727
﻿买,1264
﻿卖,1858
﻿钱,2774
﻿欠,251
﻿窝,189
﻿盖,743
﻿忽,845
﻿麻,359
﻿纵,866
﻿抢,894
﻿找,1187
﻿吹,384
﻿舌,328
﻿客,1711
﻿厅,266
﻿识,1082
﻿廊,169
﻿脚,437
﻿黄,3184
﻿鼠,126
﻿戏,643
﻿木,746
﻿屁,211
﻿股,191
﻿福,1455
﻿量,1421
﻿给,3246
﻿戴,776
﻿底,580
﻿蹬,74
﻿财,831
﻿写,1464
﻿诉,791
﻿铁,906
﻿丝,394
﻿串,117
﻿浇,89
﻿票,110
﻿赎,105
﻿盆,243
﻿库,117
﻿亦,532
﻿瞧,1744
﻿伯,2340
﻿商,1458
﻿堆,149
﻿挑,454
﻿捡,67
﻿窑,491
﻿乌,789
﻿楚,1323
﻿姑,2365
﻿厮,285
﻿奶,1096
﻿棺,192
﻿材,128
﻿丈,2145
﻿妖,847
﻿魔,352
﻿屈,538
﻿亡,1461
﻿墙,403
﻿摇,460
﻿撮,32
﻿灰,176
﻿砂,62
﻿素,647
﻿旧,603
﻿伸,254
﻿鼻,123
﻿嘴,387
﻿朵,147
﻿睛,132
﻿泥,194
﻿觉,855
﻿隍,101
﻿庙,1025
﻿恭,715
﻿债,96
﻿折,389
﻿猪,213
