s,s,s
﻿革,36,
﻿卷,36,
﻿居,36,
﻿整,36,
﻿越,36,
﻿墙,36,
﻿量,36,
﻿髙,36,
﻿添,36,
﻿犯,36,
﻿索,35,
﻿胜,35,
﻿该,35,
﻿朕,35,
﻿称,35,
﻿机,35,
﻿题,35,
﻿章,35,
﻿雀,35,
﻿僧,35,
﻿卫,35,
﻿赴,34,
﻿迢,34,
﻿兰,34,
﻿富,34,
﻿刻,34,
﻿薄,34,
﻿漏,34,
﻿弹,34,
﻿庙,34,
﻿陵,34,
﻿野,34,
﻿骂,34,
﻿禄,34,
﻿排,34,
﻿隻,34,
﻿威,34,
﻿致,34,
﻿读,34,
﻿陛,34,
﻿悄,34,
﻿恭,34,
﻿界,34,
﻿盈,34,
﻿迷,33,
﻿宿,33,
﻿揖,33,
﻿追,33,
﻿奸,33,
﻿虎,33,
﻿池,33,
﻿觑,33,
﻿脚,33,
﻿伯,33,
﻿永,33,
﻿舞,33,
﻿笔,33,
﻿谱,33,
﻿裳,33,
﻿推,33,
﻿耳,33,
﻿条,32,
﻿志,32,
﻿悠,32,
﻿敬,32,
﻿司,32,
﻿霎,32,
﻿赶,32,
﻿藏,32,
﻿刘,32,
﻿低,32,
﻿梁,32,
﻿泉,32,
﻿脱,32,
﻿绕,32,
﻿乌,32,
﻿松,32,
﻿评,32,
﻿尺,32,
﻿闪,32,
﻿豪,32,
﻿纸,32,
﻿偷,32,
﻿备,32,
﻿盒,32,
﻿竹,32,
﻿呸,32,
﻿啐,32,
﻿觅,31,
﻿团,31,
﻿鐘,31,
﻿渔,31,
﻿斜,31,
﻿闭,31,
﻿背,31,
﻿号,31,
﻿德,31,
﻿己,31,
﻿漫,31,
﻿惹,31,
﻿供,31,
﻿陪,31,
﻿判,31,
﻿含,31,
﻿乘,31,
﻿哙,31,
﻿桂,31,
﻿牵,31,
﻿貌,31,
﻿浪,31,
﻿响,31,
﻿催,31,
﻿形,31,
﻿极,31,
﻿琴,31,
﻿丫,31,
﻿牡,31,
﻿京,30,
﻿偶,30,
﻿贫,30,
﻿帐,30,
﻿敲,30,
﻿惨,30,
﻿扫,30,
﻿煞,30,
﻿隐,30,
﻿精,30,
﻿阁,30,
﻿倾,30,
﻿战,30,
﻿烛,30,
﻿眀,30,
﻿凡,30,
﻿势,30,
﻿变,30,
﻿厢,30,
﻿巫,30,
﻿宗,30,
﻿禅,30,
﻿淳,30,
﻿总,29,
﻿模,29,
﻿踪,29,
﻿存,29,
﻿配,29,
﻿木,29,
﻿奢,29,
